ISBN-10,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,Published Date,Publisher,No. of Pages,Product URL
9.78E+12,The Prize,Julie Garwood,ePUB,$5.99,$5.99,05-07-2011,Penguin Publishing Group,1,https://www.booktopia.com.au/the-prize-julie-garwood/ebook/9781101533475.html
9.78E+12,Born Fearless,Phil Campion,ePUB,$12.99,$12.99,25-09-2011,Quercus,352,https://www.booktopia.com.au/born-fearless-phil-campion/ebook/9780857384416.html
9.78E+12,Alone in Berlin,Hans Fallada; Michael Hofmann,ePUB,$15.99,$15.99,28-01-2010,Penguin Books Ltd,608,https://www.booktopia.com.au/alone-in-berlin-hans-fallada/ebook/9780141908731.html
9.78E+12,Exit West,Mohsin Hamid,ePUB,$15.99,$15.99,02-03-2017,Penguin Books Ltd,240,https://www.booktopia.com.au/exit-west-mohsin-hamid/ebook/9780241979075.html
9.78E+12,Let's Explore Diabetes With Owls,David Sedaris,ePUB,$12.99,$12.99,23-04-2013,"Little, Brown Book Group",288,https://www.booktopia.com.au/let-s-explore-diabetes-with-owls-david-sedaris/ebook/9780748123056.html
9.78E+12,Night Watch,Terry Pratchett,ePUB,$15.99,$15.99,01-12-2009,Transworld,480,https://www.booktopia.com.au/night-watch-terry-pratchett/ebook/9781407035321.html
9.78E+12,Safe Haven,Nicholas Sparks,ePUB,$11.99,$11.99,02-09-2010,"Little, Brown Book Group",320,https://www.booktopia.com.au/safe-haven-nicholas-sparks/ebook/9780748122660.html
9.78E+12,The Autobiography of Saint Therese,John Beevers,ePUB,$22.01,$17.99,26-01-2011,Random House Publishing Group,,https://www.booktopia.com.au/the-autobiography-of-saint-therese-john-beevers/ebook/9780307778086.html
9.78E+12,The Bhagavad Gita,Laurie L. Patton,ePUB,$14.99,$14.99,01-05-2014,Penguin Books Ltd,288,https://www.booktopia.com.au/the-bhagavad-gita-laurie-l-patton/ebook/9780141396217.html
9.78E+12,My Mother's Secret,J.L. Witterick,ePUB,$23.99,$19.99,05-09-2013,Penguin Publishing Group,208,https://www.booktopia.com.au/my-mother-s-secret-j-l-witterick/ebook/9780698151529.html
